JUDUL,ISBN,TAHUN TERBIT,HARGA,STOK
BUSINESS PLAN,9789796927050,2023,47315,3
PENGANTAR AKUNTANSI BIAYA,9786234002546,2023,69536,4
PANDUAN RISET DAN PUBLIKASI PENELITIAN BAGI AKADEMISI,9786230130861,2023,173014,3
METODE RISET PADA EKONOMI & BISNIS,9789790767935,2022,101334,3
TEKNIK PERKERASAN JALAN LENTUR,9786236433799,2022,115181,10
FIREBASE-MEMBANGUN APLIKASI BERBASIS ANDROID,9786230108846,2022,98548,7
TEKNIK PELAKSANAAN PEKERJAAN JEMBATAN,9786230240812,2022,190796,10
PANDUAN LENGKAP TEORI & PRAKTIK ARDUINO BERBASIS IoT INDUSTRI 4.0,9786230124495,2022,76486,5
ASPEK HUKUM DAN ADMINISTRASI PROYEK,9786236476598,2022,145378,4
101 TRIK EXCEL GAYA YOUTUBER,9786230030246,2022,194910,3
ORGANISASI ADAPTIF DI ERA DIGITAL,9786235851020,2022,122419,8
PENGENDALI HAMA RAMAH LINGKUNGAN,9786236813119,2022,162807,2
RUANG PARIWISATA,9786233811057,2022,218486,3
PENGOLAHAN & PENGAWETAN IKAN,9786022177067,2022,200552,1
TATA KELOLA RISET & INOVASI BERBASIS OUTPUT,9786235830124,2022,215137,9
BUKU ANALISIS DAN DESAIN PERANGKAT LUNAK,9786237131571,2022,173657,3
KEAMANAN BASIS DATA RELASIONAL,9786230125836,2022,70934,6
STATISTIKA DAN PROBABILITAS,9786230129704,2022,77042,2
ETIKA BISNIS DI ERA TEKNOLOGI DIGITAL,9786230117619,2022,45284,2
MANAJEMEN KONSERVASI LAHAN DAN SUMBERDAYA PESISIR,9786234872262,2022,80691,4
PENGEMBANGAN ALUR PEMBELAJARAN TRIGONOMETRI DARI TEORI HINGGA IMPLEMENTASINYA,9786230126260,2022,126164,10
APLIKASI KOMPUTER MATEMATIKA MENGGUNAKAN MATLAB UNTUK TINGKAT DASAR,9786235729312,2022,49411,4
TEORI DAN APLIKASI ELEMEN MEKANIK TEKNIK MESIN,9786235690032,2022,212084,6
EXPERIENTIAL BASED LEARNING (PEMBELAJARAN BERBASIS PENGALAMAN),9786230125614,2022,154914,8
"METODOLOGI PENELITIAN LENGKAP, PRAKTIS, DAN MUDAH DIPAHAMI",9789792686234,2022,151670,10
EPIDEMIOLOGI LINGKUNGAN (ENVIRONMENTAL EPIDEMIOLOGY),9798990692,2022,87787,6
BERDAMAI DENGAN INSECURITY,9786234000979,2022,135017,3
TUTUR HATI,9786021765302,2022,78558,2
"PANDUAN LENGKAP ILMU BUTCHERY UNTUK UNGGAS, IKAN & SEAFOOD, LAMB",9786239908614,2022,201034,8
AKUNTABILITAS PUBLIK,9789790767904,2022,164098,2
BAPAK YANG HILANG,9786233052733,2022,188827,8
ILMU NUTRISI TERNAK DASAR,9786024329105,2022,216676,5
METODOLOGI PENELITIAN DAN KARYA ILMIAH ILMU PETERNAKAN,9786232963825,2022,67847,7
"POPULASI-SAMPEL, TEKNIK SAMPLING & BIAS DALAM PENELITIAN",9786230127724,2022,145348,5
WHATS THE MATTER WITH QUARTER LIFE CRISIS,9786235436012,2022,83665,2
WHATS SO WRONG ABOUT YOUR SELF HEALING,9786239700218,2022,165342,8
SUKSES MENYELESAIKAN TUGAS AKHIR DAN SKRIPSI DALAM 30 HARI UNTUK SEMUA JURUSAN,9786232447325,2022,199323,4
ISLAM SISTEM NILAI TERPADU,9795617362,2022,145929,8
MANIFESTO ISLAM CINTA,9786024412739,2022,81329,6
BETERNAK MAGOT,9786237267881,2022,169302,9
TEORI EKONOMI MIKRO,9786230126307,2022,213808,4
