JUDUL,ISBN,TAHUN TERBIT,STOK,HARGA
Clean Code - A Handbook of Agile Software Craftsmanship,9780132350884,2008,1,0
"The-Pragmatic-Programmer, 2nd",9780135957059,2019,1,0
"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",9781942788294,2016,1,0
Design Patterns: Elements of Reusable Object-Oriented Software,9780201633610,1994,1,0
Refactoring: Improving the Design of Existing Code 2nd Edition,9780134757599,2019,1,0
"Internet of Things: Technologies and Applications for a New Age of Intelligence 2nd Edition, Kindle Edition",9780128144350,2018,1,0
Internet of Things Programming Projects: Build modern IoT solutions with the Raspberry Pi 3 and Python,9781789134803,2018,1,0
IoT 4n6: Forensic Investigation of the Internet of Things 1st Edition,9781119598787,2023,1,0
"Internet of Things: Architectures, Protocols and Standards 1st Edition",9781119359678,2018,1,0
"Internet of Things and Fog Computing-Enabled Solutions for Real-Life Challenges 1st Edition, Kindle Edition",9781032136318,2022,1,0
Lean UX: designing great products with agile teams,9781098116309,2021,1,0
Big Data Analytics Ecosystem & Solutions Dengan Apache Hadoop,9786239267209,2020,1,0
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud, Global Edition 1st Edition",9781292364902,2021,1,0
Python for Programmers: with Big Data and Artificial Intelligence Case Studies,9780135224335,2019,1,0
Artificial Intelligence and Machine Learning for Business: A No-Nonsense Guide to Data Driven Technologies,9781999325381,2021,1,0
Power BI - Business Intelligence Clinic: Create and Learn,9781726793216,2018,1,0
AI-Powered Business Intelligence: Improving Forecasts and Decision Making with Machine Learning 1st Edition,9781098111472,2022,1,0
Math For The Professional Kitchen ,9780470508961,2013,1,0
Tourism Information Technology (3rd Edition),9781786393432,2019,1,0
The Business of Tourism,9781292063249,2016,1,0
Smart Tourism Destination Governance (Technology and Design-Based Approach),9781032216362,2022,1,0
Le Cordon Bleu Patisserie & Baking Foundations Classic Resipes,9781439057179,2012,1,0
Mass Tourism in Smal World,9781780648545,2018,1,0
Maths & Literacy for Hospitality,9780170464390,2009,1,0
"Advance Biomaterial: Fundamental, Processing, and Application 1st Edition",9780470193402,2009,1,0
Sensory Evaluation of Food,9781441964878,2010,1,0
Food Analysis 4th Edition; 5ED,9783319457741,2017,1,0
Handbook of Food Analytical Chemistry,9780471718178,2004,1,0
Rabbit Production,9781789249798,2022,1,0
Sheep production in the tropics and subtropics,9788172330729,0,1,0
The Biology of Deer,9781461276678,2011,1,0
Biology and Management of White-tailed Deer,9781439806517,2011,1,0
Deer Management for Forest Landowners and Managers,9781466580169,2019,1,0
Goat Science and Production,9780813809366,2010,1,0
Poultry Science,9781478635826,2019,1,0
"Enzymes in Industry: Production and Applications, Third Edition",9783527617098,2007,1,0
"Geometric Dimensioning and Tolerancing for Mechanical Design, 3E",9781260453782,2020,1,0
Maintenance and Reliability best practices; 3ED,9780831136475,2009,1,0
Non-Conventional Hybrid Machining Processes Theory and Practice,9780367139131,2020,1,0
Introduction to Statistical Quality Control,9781119723097,2020,1,0
"Additive Manufacturing Technologies
3D Printing, Rapid Prototyping, and Direct Digital Manufacturing",9783030561291,2021,1,0
Mechanical Engineering Design. Tenth Edition in SI Units; SHIGLEY'S MECHANICAL ENGINEERING DESIGN 10ED,9789813151000,2015,1,0
"Failure of Materials in Mechanical Design: Analysis, Prediction, Prevention, 2nd Edition",9780471558910,1993,1,0
"Materials Handling Handbook, 2nd Edition",9780470172490,2008,1,0
Advanced Hybrid and Electric Vehicles,9783319799261,2018,1,0
Ship Design and Performance for Masters and Mate,9780750660006,2004,1,0
Ship Design for Efficiency and Economy,9780080972749,2015,1,0
Ship Design: Methodologies of Preliminary Design,9789402406771,2016,1,0
 holistic approach to ship design: volume 1: optimisation of ship design and operation for life cycle,9783030028091,2019,1,0
A Holistic Approach to Ship Design: Volume 2: Application Case Studies,9783030710934,2022,1,0
"Risk-Based Ship Design: Methods, Tools and Applications",9783540890416,2009,1,0
Dry Docking And Shipboard Maintenance,9781138909243,2015,1,0
"Shipboard Propulsion, Poer Electronic And Ocean Energy",9781138075443,2017,1,0
Shipboard Electrical Power System,9780367430351,2021,1,0
Practical Design of Ships And Other Floating Stuctures,9789811546822,2021,1,0
Design of Ship Hull Structures (A Practical Guide For Engineers),9783642100093,2010,1,0
Ship Contruction,9780080972398,2012,1,0
Marine Propellers Propulsion,9780081003664,2018,1,0
Practical Ship Hydrodynamics,9781483299716,2011,1,0
A Guide Ship Repaar Estimates in man Hours,9780080972848,2013,1,0
Practical Seamanship,9781930086012,2001,1,0
Practical Boat Mechanicas,9780071445054,2009,1,0
Boat Interior Contruction,9780713663570,2002,1,0
Practical Navigation for the Modern Boat Owner,9780470516133,2008,1,0
Machining And CNC technology,9781260092608,2018,1,0
MEMS : Design and Fabrication,9780367391638,2019,1,0
Engineering Mechanic : Dynamics 3rd; 5RD,9789810679644,2001,1,0
Introduction to Solid Mechanics,9780132677585,1999,1,0
Engineering Mechanic : Static 5rd,9789810679637,2008,1,0
The Finite Element Methode; 7ED,9781856176330,0,1,0
Design And Control of Automotive Propulsion Systems,,2017,1,0
Gas Turbine Propulsion systems,9781600868467,2011,1,0
Introduction to Naval Architecture,9780870213182,1982,1,0
Marine Structural Design Calculation,9780080999876,2014,1,0
Hand Book of marine craft Hydrodynamic and motion control,9781119575054,2021,1,0
Offshore Engineering; Handbook of Offshore Engineering (2-Volume Set),9781283293518,2005,1,0
Resistance and Propulsion of Ships (Ocean Engineering: A Wiley Series),9780471063537,1983,1,0
The Resistance and Propulsion of Ships,9780526776184,2019,1,0
Principle of Naval Engineering,9781612511047,2012,1,0
Preliminary Design of Boats and Ships,9780870336218,2010,1,0
"Basic Ship Theory, Combined Volume, Fifth Edition",9780750653985,2001,1,0
BIM Handbook Third Edition,9781119287537,2018,1,0
Mastering Autodesk Revit 2020,9781119570127,2020,1,0
Surveying with Constructions Applications 8th Edition; 9ed,9780137009404,2012,1,0
"Project Management With Cpm, Pert and Precedence Diagramming  3ed",9780960634484,1995,1,0
Cruise Ship Torisme Th 2006; Cruise Ship Tourism 2nd Edition,9781780646084,0,1,0
The Maritime Engineering Reference Book,9780750689878,2008,1,0
Torsion And Shear Stress in Ships,9783642430947,2014,1,0
The ROV Manual 2nd; The ROV Manual: A User Guide for Remotely Operated Vehicles 2nd Edition,9780080982885,2013,1,0
The Complete Yachmaster,9781472982988,2022,1,0
Buckling of Ship Structure,9783642434976,2012,1,0
Build Your Own Quadcopter,9780071822282,2014,1,0
"Building Your Drone; Building Your Own Drones: A Beginners' Guide to Drones, UAVs, and ROVs",9780789755988,2015,1,0
Computational Intellegence Paradigms for Optimization Problem using Matlab Simulink,9781138855380,2017,1,0
Pilot & FOO Jeppesen JAA 6-Electric;  Private Pilot FAA Practical Test Study Guide,9780884876618,2019,1,0
Contruction of Marine and ofshore structures,9780849330520,2007,1,0
"The Elements of Boat Strength: For Builders, Designers, and Owners",9780070231597,1999,1,0
The Piping Guide: For the Design and Drafting of Industrial Piping Systems,9780962419775,2009,1,0
Ship Design and Construction,9780960304806,1980,1,0
Pengantar Sistem Cerdas,9786233427586,2023,5,0
Teknologi Plastic Injection Mould,9789792170641,0,3,0
PENGENDALIAN KUALITAS,9786237729266,2020,5,0
Manajemen Produksi dan Operasi,9786236761342,2020,5,0
Perancangan dan Pengembangan Produk Manufaktur,9789792960327,2017,5,0
Teknologi Bangunan Kapal Nonbaja,979462604,0,3,0
"Tekla Structural Designer 2023, Pemodelan Gedung Struktur Beton",9786238865574,2023,5,0
"Buku Ajar Tekla Structures Pemodelan Struktur Gedung Beton Bertulang, Jilid-1",9786238831784,2023,5,0
Handbook Prosedur Analisa Beban Gempa sesuai SNI1726-2019,9786237644828,2020,3,0
Perencanaan Struktur Baja,9786232960909,2020,3,0
Desain Struktur Gedung Baja dengan ETABS Versi 16.2.0,9786230257292,2022,3,0
Handbook Analisa & Desain Struktur Baja SNI 1729-2020,9786236093818,2020,5,0
Perencanaan Struktur Kayu,9786233516594,2022,5,0
Manajemen Konservasi Lahan Dan Sumberdaya Pesisir,9786234872262,2022,5,0
Perencanaan Dan Penggambaran Sistem Perpipaan,9798034716,2007,5,0
Desain Jaringan Pipa Prinsip Dasar Dan Aplikasi,9789795383505,2009,5,0
Kontrak Konstruksi di Indonesia (Edisi Kedua),9786020300818,2014,5,0
Rekayasa Geometrik Jalan,9786025923135,2018,10,0
teknologi aspal dan penggunaannya dalam perkerasan jalan,9789792951844,2015,10,0
Konstruksi Jembatan Jenis dan Bagian Struktur Atas,9786235537023,2021,10,0
Quantity surveying : pengantar manajemen biaya dan kontrak konstruksi,9786020342788,2017,10,0
Perkembangan Pengelolaan Industri Akomodasi dan Restoran (Jilid II),9798140982,1999,5,0
Pengantar Pastry & Bakery,9786025470417,0,5,0
Pengetahuan Bar,9786025470462,0,3,0
Pengetahuan Minuman,9786025470455,0,3,0
Manajemen Koperasi dan UMKM,9786238157235,2023,3,0
Mengenal Bisnis Kuliner,9786233426947,2023,3,0
BUKU PINTAR SERI SENIOR,9789790255654,2008,5,0
Handbook of Climate Change Mitigation and Adaptation,9783030725808,2022,1,0
Digital Agriculture,9783031435478,2024,1,0
Frontier Technologies for Crop Improvement,9789819946723,2024,1,0
"Tillage Machinery—Passive, Active and Combination",9789819963300,2024,1,0
Plant tissue Culture (Techniques and Experiments),9780124159204,2024,1,0
Plant Biotechnology and Agriculture,9780123814661,2024,1,0
Dasar-Dasar Agronomi,9786020613802,2024,0,0
Botani Tumbuhan Tinggi,9786232281462,2024,0,0
Genetika Tumbuhan,9786233590099,2024,0,0
Dasar-dasar Fisiologi Tumbuhan,9794213772,2024,0,0
Handbook of Organic Farming,9789350304921,2024,0,0
Manajemen Sistem Informasi; Konsep & Implementasi (Tinjauan Praktisi Manajemen),9786232288867,2021,2021,0
Merancang Energi Masa Depan dengan Biodiesel,9786230104541,2020,2020,0
PENGANTAR SISTEM PENGENDALIAN MANAJEMEN TEORI DAN APLIKASI,97862337 25408,0,0,0
"MANAJEMEN PRODUKSI DAN OPERASI “Mengubah Tantangan Menjadi Peluang Keberhasilan""",9786238418084,2023,2023,0
PROSES MANUFAKTUR Operasi Pemesinan dan Perakitan,9786233295260,2021,2021,0
MONOGRAF TUBRUKAN KAPAL DALAM KAITANNYA DENGAN INDUSTRI PELAYARAN,9786233294850,2021,2021,0
BANGUNAN KAPAL DAN STABILITAS,9786238177851,2023,2023,0
